ID_REF, IDENTIFIER, GSM21832, GSM19135, GSM9514, GSM42864
AACS, AACS, 217.800, 109.800, 137.500, 221.200
FSTL1, FSTL1, 259.200, 216.300, 597.500, 7261.700
ELMO2, ELMO2, 866.900, 30.100, 207.800, 729.700
CREB3L1, CREB3L1, 123.800, 36.200, 49.600, 62.000
RPS11, RPS11, 4398.600, 174.700, 104.900, 555.800
PNMA1, PNMA1, 324.600, 64.100, 207.300, 2043.300
MMP2, MMP2, 215.700, 266.700, 86.400, 6599.400
HAUS2, HAUS2, 2507.000, 168.400, 176.800, 954.900
SAMD4A, SAMD4A, 54.400, 14.900, 23.400, 28.700
SMARCD3, SMARCD3, 847.700, 29.500, 92.400, 187.700
A4GNT, A4GNT, 26.700, 28.700, 26.500, 23.100
PKNOX2, PKNOX2, 216.000, 39.600, 46.000, 100.600
RALYL, RALYL, 23.600, 3.500, 4.900, 8.600
ZHX3, ZHX3, 95.700, 51.600, 56.300, 109.900
ERCC5, ERCC5, 574.100, 75.200, 50.200, 358.800
GPR98, GPR98, 37.600, 5.200, 9.800, 31.000
RXFP3, RXFP3, 12.600, 1.600, 3.800, 5.800
APBB2, APBB2, 31.100, 14.900, 26.000, 530.100
BBOX1, BBOX1, 6.600, 2.200, 3.100, 6.700
XDH, XDH, 279.700, 311.200, 138.800, 196.100
EDN1, EDN1, 33.800, 54.800, 6.600, 280.800
MTERF, MTERF, 19.500, 13.900, 21.400, 126.400
AEN, AEN, 111.900, 55.600, 163.300, 239.400
CLK4, CLK4, 1617.600, 97.900, 112.500, 249.800
KCNG1, KCNG1, 16.800, 17.300, 110.900, 41.000
CXCR4, CXCR4, 8059.900, 191.600, 1.800, 121.000
DECR1, DECR1, 2170.600, 404.100, 144.000, 1444.000
SALL1, SALL1, 4.300, 9.000, 25.900, 1.900
PTPRR, PTPRR, 35.300, 87.100, 34.700, 73.400
CADM4, CADM4, 72.400, 2.800, 11.100, 13.300
IRAK1, IRAK1, 1963.800, 393.400, 1951.600, 1401.200
RPS18, RPS18, 18923.400, 4249.600, 9431.000, 29559.200
U85978, U85978, 138.700, 5.000, 1.900, 19.400
CFHR5, CFHR5, 3.200, 1.000, 1.100, 1.700
BRIX1, BRIX1, 54.800, 13.900, 114.800, 108.900
TMSB10, TMSB10, 9244.000, 4429.500, 6022.200, 28654.500
ESYT1, ESYT1, 345.300, 90.800, 224.000, 951.100
CXCL3, CXCL3, 25.700, 6.700, 20.700, 16.900
LMAN1, LMAN1, 43.800, 4.700, 67.500, 143.200
CHD8, CHD8, 388.800, 122.200, 252.900, 708.900
SUMO1, SUMO1, 2221.100, 314.900, 835.800, 2666.300
GP1BA, GP1BA, 444.400, 73.000, 91.700, 176.700
OR7A10, OR7A10, 9.700, 2.000, 6.800, 17.600
DDB1, DDB1, 635.300, 402.700, 385.400, 2441.800
UQCR11, UQCR11, 3096.400, 650.200, 906.900, 3838.100
CHRNA10, CHRNA10, 134.300, 25.900, 32.400, 27.100
STYK1, STYK1, 87.300, 43.900, 20.400, 92.900
MYO9B, MYO9B, 1218.500, 64.300, 62.800, 514.600
CCNI, CCNI, 8690.100, 1264.400, 997.900, 8870.500
MMP7, MMP7, 124.100, 12.400, 26.100, 187.200
EP300, EP300, 937.900, 43.300, 40.900, 542.400
CRNKL1, CRNKL1, 443.600, 87.000, 111.000, 412.000
C9orf45, C9orf45, 19.500, 6.800, 7.200, 66.400
XAB2, XAB2, 117.200, 37.900, 115.000, 140.000
RTN1, RTN1, 285.200, 27.100, 11.100, 51.700
HIC2, HIC2, 10.000, 3.600, 3.800, 14.600
ADAM21P1, ADAM21P1, 200.700, 57.200, 69.300, 156.400
TBX10, TBX10, 123.800, 72.300, 23.200, 98.800
CENPQ, CENPQ, 50.200, 5.600, 112.400, 78.400
UTY, UTY, 94.400, 11.800, 1.800, 44.100
OR2W1, OR2W1, 106.100, 29.300, 8.200, 45.100
KCNA6, KCNA6, 91.700, 24.000, 40.500, 189.400
ATP5G2, ATP5G2, 82.700, 10.900, 43.500, 126.100
AF354444, AF354444, 104.200, 18.200, 29.000, 141.300
ZEB1, ZEB1, 707.700, 46.100, 109.300, 1436.000
CDK14, CDK14, 192.100, 21.600, 58.700, 131.300
ERG, ERG, 111.500, 19.900, 9.700, 175.200
FAT4, FAT4, 74.000, 7.100, 22.000, 283.900
PARN, PARN, 407.500, 169.400, 479.900, 682.600
SOD2, SOD2, 2014.300, 83.500, 112.600, 239.600
CYTH1, CYTH1, 1301.300, 164.600, 54.300, 137.300
ADAM5P, ADAM5P, 138.600, 32.700, 27.500, 129.200
CHD9, CHD9, 17.500, 0.400, 0.700, 103.800
STK16, STK16, 233.400, 70.900, 173.300, 296.300
PDE1C, PDE1C, 85.000, 37.000, 72.200, 137.300
SEMA4D, SEMA4D, 2290.700, 118.600, 73.100, 79.200
AGPAT1, AGPAT1, 1627.700, 536.800, 1017.700, 2145.100
TOB2, TOB2, 407.000, 108.800, 88.700, 336.500
BANK1, BANK1, 111.500, 62.100, 2.900, 35.600
NINL, NINL, 203.200, 47.700, 78.200, 230.000
MAP3K3, MAP3K3, 2917.300, 58.400, 53.200, 1228.000
MAX, MAX, 252.200, 32.000, 38.400, 81.500
GRM2, GRM2, 9.200, 7.600, 9.000, 166.400
OSBPL8, OSBPL8, 4864.300, 98.200, 156.400, 431.700
PROSC, PROSC, 139.200, 22.200, 27.300, 52.700
SPIN2B, SPIN2B, 17.200, 37.900, 40.100, 106.600
NR4A2, NR4A2, 88.000, 22.500, 16.200, 316.100
PIR, PIR, 5.900, 29.700, 34.800, 1497.400
PPCS, PPCS, 874.800, 97.600, 263.200, 542.100
IPO9, IPO9, 430.400, 108.500, 599.700, 1238.500
LONP1, LONP1, 181.100, 142.300, 772.200, 475.700
TTTY1B, TTTY1B, 202.500, 49.600, 43.100, 124.100
NM_025089, NM_025089, 191.600, 37.500, 6.100, 96.000
EVC, EVC, 11.400, 3.300, 10.400, 26.100
CXCL13, CXCL13, 22.500, 319.300, 9.200, 6.900
FFAR3, FFAR3, 10.100, 6.100, 9.800, 23.500
SCYL3, SCYL3, 256.100, 48.600, 41.000, 149.300
AK024093, AK024093, 88.100, 13.600, 5.600, 68.900
KIAA1199, KIAA1199, 67.300, 22.800, 15.600, 2270.000
SORL1, SORL1, 19933.900, 476.400, 30.400, 67.700
NAT10, NAT10, 592.000, 121.700, 271.900, 492.600
CHD1, CHD1, 1207.500, 92.800, 192.600, 774.400
SYN3, SYN3, 22.400, 15.100, 18.000, 64.200
DMC1, DMC1, 78.200, 8.800, 12.900, 9.100
SLC22A2, SLC22A2, 7.100, 10.500, 18.000, 13.800
SERPINF1, SERPINF1, 198.100, 178.300, 10.300, 21.600
C20orf27, C20orf27, 221.900, 28.800, 202.700, 757.300
OR7A17, OR7A17, 110.800, 28.000, 20.100, 135.500
RPS6KA5, RPS6KA5, 686.700, 79.800, 86.400, 233.900
HMX1, HMX1, 30.200, 6.400, 7.200, 20.500
DHRS11, DHRS11, 14.900, 827.200, 107.300, 312.900
LHB, LHB, 165.500, 49.600, 40.400, 144.200
TAOK3, TAOK3, 486.200, 44.800, 64.500, 303.800
STK25, STK25, 237.500, 84.400, 245.100, 772.900
SLC12A4, SLC12A4, 181.100, 36.200, 46.900, 67.800
BRCA1, BRCA1, 253.900, 17.400, 186.200, 167.800
CDC25B, CDC25B, 574.800, 133.400, 456.400, 1025.300
BMP3, BMP3, 80.400, 40.300, 31.700, 62.000
MAP1LC3C, MAP1LC3C, 41.900, 15.700, 30.500, 82.300
TMEM180, TMEM180, 735.200, 37.500, 125.400, 126.700
CRYGC, CRYGC, 85.900, 5.900, 29.700, 22.600
SLK, SLK, 870.900, 70.400, 98.500, 434.000
POU3F1, POU3F1, 20.600, 7.000, 3.300, 32.400
HIGD1B, HIGD1B, 33.200, 11.300, 15.400, 13.800
BAZ1B, BAZ1B, 12.300, 2.200, 10.800, 23.700
USP6NL, USP6NL, 94.800, 3.800, 30.700, 168.200
SLCO2B1, SLCO2B1, 48.700, 102.900, 12.700, 154.000
ABCD4, ABCD4, 42.200, 28.500, 33.200, 113.500
DIMT1L, DIMT1L, 329.800, 96.800, 403.800, 849.700
SLC25A46, SLC25A46, 438.700, 171.800, 263.200, 710.500
LARP7, LARP7, 119.400, 59.800, 53.000, 86.600
TEK, TEK, 26.100, 11.400, 10.200, 37.300
CD160, CD160, 182.400, 49.200, 24.600, 36.700
TERF2IP, TERF2IP, 1591.100, 161.100, 281.700, 1468.700
PHF20, PHF20, 208.000, 59.300, 63.100, 191.800
COL1A1, COL1A1, 646.900, 100.600, 114.500, 511.800
KIAA0090, KIAA0090, 5.600, 3.000, 26.600, 113.000
GTPBP1, GTPBP1, 694.200, 143.000, 255.600, 958.800
GRK5, GRK5, 408.200, 85.900, 17.200, 772.800
AP1S2, AP1S2, 2461.500, 101.400, 212.600, 630.200
RAB33B, RAB33B, 615.700, 43.700, 70.600, 169.800
CA11, CA11, 30.000, 43.900, 170.700, 1481.000
ALDOC, ALDOC, 350.600, 302.700, 147.400, 243.400
NUDT1, NUDT1, 9.300, 15.200, 130.600, 88.200
ZNF212, ZNF212, 348.100, 80.800, 163.000, 499.400
